Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score(TSS) ,Max Avg Power (20 min),Power,Max Power
road_biking,5/26/2018 10:26,2.16,143,26:03:00,149,175,5,29.5,138,177,83,106,128,15,78,92,625
indoor_cycling,6/1/2018 18:26,7.28,142,24:39:00,128,162,17.7,27.5,--,--,85,115,126,13.6,99,96,519
cycling,3/10/2018 12:46,4.6,127,21:23,158,179,12.9,22.3,39,36,83,111,126,13,89,99,558
indoor_cycling,1/11/2018 6:32,18.53,389,1:04:14,135,179,17.3,26.4,--,--,--,--,126,42.8,132,101,447
cycling,2/10/2018 16:09,14.74,353,55:08:00,144,171,16,27.4,236,249,85,104,124,32.9,125,107,457
indoor_cycling,1/16/2018 17:58,20.88,367,57:01:00,136,169,22,44.7,--,--,89,153,121,32.9,115,107,453
road_biking,4/15/2018 12:28,2.45,60,10:57,161,173,13.4,20.6,131,30,81,98,115,4.9,--,93,335
cycling,2/24/2018 10:28,0.14,3,00:39.3,149,161,12.8,17.4,--,--,80,91,114,0.1,--,86,419
indoor_cycling,3/10/2018 9:38,0,52,07:44.0,150,163,--,--,--,--,87,131,112,3.6,--,112,245
road_biking,4/15/2018 14:48,2.64,56,10:23,154,167,15.2,24.9,59,138,80,100,109,4.2,--,90,418
cycling,3/10/2018 10:31,0.35,7,01:26.5,152,156,14.7,15.7,3,--,72,84,108,0.4,--,89,297
road_biking,6/2/2018 13:46,5.35,118,28:00:00,152,176,11.5,25.2,39,43,75,106,107,11.2,55,71,673
indoor_cycling,1/18/2018 6:34,15.48,375,1:01:39,126,148,15.1,19.8,--,--,--,--,107,27.8,116,102,241
indoor_cycling,1/7/2018 12:14,11.12,238,42:45:00,120,150,15.6,22.4,--,--,--,--,107,20.8,119,93,344
cycling,2/25/2018 12:53,0,64,10:30,135,152,0,--,--,--,87,97,106,4.4,--,101,185
indoor_cycling,2/18/2018 8:30,26.5,641,1:51:18,121,148,14.3,19.7,7,10,--,--,106,48.5,114,96,414
indoor_cycling,6/3/2018 15:55,34.76,791,2:23:54,114,149,14.5,20.7,--,--,71,99,104,55.8,115,92,397
cycling,3/4/2018 15:31,1.67,38,09:50.7,--,--,10.2,26.6,102,95,71,95,104,3.9,--,65,262
indoor_cycling,2/24/2018 10:11,0,46,08:22.7,140,160,--,--,--,--,86,98,102,3.2,--,93,250
cycling,2/16/2018 9:23,2.7,50,11:37,123,142,13.9,21.2,13,16,81,108,95,3.7,--,73,350
road_biking,4/15/2018 11:58,0.74,57,14:28,145,169,3.1,19.1,46,26,78,128,93,4.3,42,67,630
indoor_cycling,3/5/2018 19:30,7.11,164,31:01:00,109,135,13.7,17.4,--,--,85,108,93,10.3,91,88,328
cycling,2/17/2018 7:24,1.88,40,09:42.4,125,147,11.6,17.7,3,10,83,103,91,3,--,69,264
cycling,3/3/2018 13:34,1.79,30,11:18,127,155,9.5,34.8,39,167,71,110,88,3.3,--,44,267
indoor_cycling,5/19/2018 15:50,13.59,275,1:00:08,114,141,13.6,18.6,3,--,--,--,85,15.3,96,76,308
road_biking,5/5/2018 13:49,1.38,22,09:15.4,126,151,9,21.7,62,56,54,86,82,2,18,39,251
cycling,2/25/2018 14:13,0.78,11,06:47.1,130,182,6.9,16.2,7,3,77,98,55,0.7,--,31,450
indoor_cycling,1/13/2018 15:23,1.6,21,06:49.2,129,139,14.1,15.8,--,--,--,--,53,0.8,--,52,108
road_biking,5/6/2018 13:44,1.33,16,12:00,107,129,6.6,21.5,30,33,54,105,48,0.9,13,24,296
road_biking,6/2/2018 16:29,0.36,4,03:15.6,118,130,6.6,10.2,--,--,66,96,37,0.1,--,24,85
road_biking,5/26/2018 11:57,0.2,5,14:19,120,141,0.8,5,20,7,21,34,28,0.3,--,6,110
